INFO      ::     INSTR       Processing READ ADDRESS 34
DEBUG     ::     SYSTEM      Data stack: [6, 116, 78, 78, 35]
DEBUG     ::     SYSTEM      ControlUnit: time=237, instructions executed=39, interruption = True
INFO      ::     INSTR       Processing SAVE
DEBUG     ::     SYSTEM      Data stack: [6, 116, 78]
DEBUG     ::     SYSTEM      ControlUnit: time=244, instructions executed=40, interruption = True
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     SYSTEM      Data stack: [6, 116, 78, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=248, instructions executed=41, interruption = True
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 78 and 0
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=254, instructions executed=42, interruption = True
INFO      ::     INSTR       Processing JEQ ADDRESS 5
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=258, instructions executed=43, interruption = True
INFO      ::     INSTR       Processing READ ADDRESS 34
DEBUG     ::     SYSTEM      Data stack: [6, 116, 35]
DEBUG     ::     SYSTEM      ControlUnit: time=263, instructions executed=44, interruption = True
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 35
DEBUG     ::     SYSTEM      Data stack: [6, 116, 36]
DEBUG     ::     SYSTEM      ControlUnit: time=269, instructions executed=45, interruption = True
INFO      ::     INSTR       Processing SAVE ADDRESS 34
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=275, instructions executed=46, interruption = True
INFO      ::     INSTR       Processing RETURN
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=278, instructions executed=46, interruption = False
INFO      ::     INSTR       Processing JEQ ADDRESS 4
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=283, instructions executed=47, interruption = False
INFO      ::     INSTR       Processing SAVE ADDRESS 1
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6]
DEBUG     ::     SYSTEM      ControlUnit: time=290, instructions executed=48, interruption = False
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 6
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7]
DEBUG     ::     SYSTEM      ControlUnit: time=297, instructions executed=49, interruption = False
INFO      ::     INSTR       Processing JUMP ADDRESS 13
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7]
DEBUG     ::     SYSTEM      ControlUnit: time=301, instructions executed=50, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 7]
DEBUG     ::     SYSTEM      ControlUnit: time=307, instructions executed=51, interruption = False
INFO      ::     INSTR       Processing READ
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 32]
DEBUG     ::     SYSTEM      ControlUnit: time=314, instructions executed=52, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 32, 32]
DEBUG     ::     SYSTEM      ControlUnit: time=320, instructions executed=53, interruption = False
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 32, 32, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=325, instructions executed=54, interruption = False
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 32 and 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 32]
DEBUG     ::     SYSTEM      ControlUnit: time=332, instructions executed=55, interruption = False
INFO      ::     INSTR       Processing JEQ ADDRESS 4
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7, 32]
DEBUG     ::     SYSTEM      ControlUnit: time=337, instructions executed=56, interruption = False
INFO      ::     INSTR       Processing SAVE ADDRESS 1
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [7]
DEBUG     ::     SYSTEM      ControlUnit: time=344, instructions executed=57, interruption = False
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 7
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [8]
